sparse_topic,dense_topic,score
"{'band', 'singing', 'dancing', 'dance', 'music'}","{'dancing', 'dance', 'singing'}",0.6
"{'not', 'another', 'just', 'it', 'because', 'they', 'something', 'little', 'how', 'one', 'nobody', 'alone'}","{'family', 'woman', 'gentleman', 'someone', 'women', 'girl', 'young', 'he', 'not', 'man', 'just', 'lady', 'child', 'kids', 'ex', 'friend', 'older', 'female', 'she', 'friends', 'boy', 'it', 'wife', 'boys', 'elderly', 'girls', 'male', 'something', 'little', 'son', 'one', 'nobody', 'children', 'old', 'his', 'her', 'men', 'married', 'him', 'guy', 'else', 'another'}",0.17391304347826086
"{'jjr', 'nnp', 'vb', 'jj', 'vbd', 'vbg', 'POS', 'vbp', 'nnps', 'nn', 'vbz', 'nns', 'vbn'}","{'jjr', 'nnp', 'vb', 'jj', 'vbg', 'POS', 'vbp', 'nn', 'vbz', 'nns', 'vbn'}",0.8461538461538461
"{'helmet', 'sunglasses', 'glasses'}","{'helmets', 'helmet', 'sunglasses'}",0.5
"{'having', 'being'}",No Match,0.0
"{'grassy', 'grass', 'tree'}","{'grass', 'tree'}",0.6666666666666666
"{'dressed', 'suit', 'costume', 'dress'}","{'outfit', 'suit', 'costume', 'dress'}",0.6
"{'concert', 'plays', 'performing', 'team', 'player', 'play', 'playing', 'game', 'players'}","{'championship', 'team', 'player', 'play', 'playing', 'game'}",0.5
"{'sitting', 'holding'}","{'stands', 'sitting', 'holding', 'standing', 'stand', 'sits'}",0.3333333333333333
"{'eating', 'drinking', 'smoking'}","{'eating', 'smoking'}",0.6666666666666666
"{'near', 'at'}","{'near', 'at'}",1.0
"{'indoors', 'outdoor', 'pool', 'enjoying', 'outdoors'}","{'pool', 'enjoying', 'outdoors', 'indoors'}",0.8
"{'humans', 'human', 'animal'}",No Match,0.0
"{'racing', 'race'}","{'racing', 'race'}",1.0
"{'chairs', 'bed', 'desk', 'couch'}","{'bed', 'desk', 'couch'}",0.75
"{'reading', 'talking'}","{'doing', 'about', 'reading', 'looking', 'waiting', 'talking'}",0.3333333333333333
"{'small', 'large'}",No Match,0.0
"{'camera', 'headphones', 'microphone'}","{'phone', 'camera', 'cellphone', 'microphone'}",0.4
"{'floor', 'wall'}","{'floor', 'wall'}",1.0
"{'practicing', 'work'}",No Match,0.0
"{'toward', 'into', 'up', 'down'}","{'into', 'toward', 'down'}",0.75
"{'bar', 'cafe', 'restaurant'}","{'bar', 'restaurant', 'chef'}",0.5
"{'dinner', 'lunch'}","{'meal', 'dinner', 'lunch'}",0.6666666666666666
"{'cowboy', 'circus'}",No Match,0.0
"{',', 'with'}","{',', 'with'}",1.0
"{'other', 'are', 'some'}","{'their', 'are', 'some', 'all', 'other'}",0.6
"{'walk', 'walks'}","{'walk', 'walks'}",1.0
"{'laughing', 'smiles', 'crying', 'smile'}",No Match,0.0
"{'violin', 'guitar', 'drums'}",No Match,0.0
"{'chasing', 'jumping'}","{'chasing', 'jumping'}",1.0
"{'looking', 'waiting'}","{'doing', 'about', 'reading', 'looking', 'waiting', 'talking'}",0.3333333333333333
"{'road', 'sidewalk'}","{'road', 'sidewalk'}",1.0
