neuron,cluster,formula,pair_num,pre,hyp
15,2,((((hyp:tok:sits OR hyp:tok:sitting) OR hyp:tok:sleeping) AND (NOT oth:overlap:overlap50)) AND (NOT hyp:tok:down)),19,"A woman is doing a cartwheel while wearing a bikini in the sand next to the beach .
","A woman is fixing her home .
"
15,3,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR hyp:tok:seated) AND (NOT pre:tok:at)),42,"Two doctors perform surgery on patient .
","Two surgeons are having lunch .
"
15,3,(((((NOT oth:overlap:overlap50) AND hyp:tok:sitting) AND (NOT pre:tok:on)) OR hyp:tok:seated) AND (NOT pre:tok:at)),133,"Men stand on steps leading out of a body of water
","Men are sitting outside near a golf course .
"
15,4,((((hyp:tok:sitting AND pre:tok:walking) OR hyp:tok:lying) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:standing)),266,"A man is a safety suit walking outside while another man in a dark suit walks into a building .
","Men are sitting in the park .
"
15,4,((((hyp:tok:sitting AND pre:tok:walking) OR hyp:tok:lying) AND (NOT oth:overlap:overlap50)) AND (NOT pre:tok:standing)),583,"A child holds a football and runs from other children .
","The children are all sitting down .
"
1021,1,((((oth:overlap:overlap50 OR pre:tok:on) OR pre:tok:in) AND (NOT hyp:tok:there)) AND (NOT hyp:tok:sitting)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
1021,1,((((oth:overlap:overlap50 OR pre:tok:on) OR pre:tok:in) AND (NOT hyp:tok:there)) AND (NOT hyp:tok:sitting)),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
1021,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:having) AND (NOT hyp:tok:next)) OR hyp:tok:his),7,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A man selling donuts to a customer during a world exhibition event while people wait in line behind him .
"
1021,2,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:having) AND (NOT hyp:tok:next)) OR hyp:tok:his),11,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","boys scoring a touchdown
"
1021,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:friends) AND (NOT hyp:tok:next)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
1021,3,((((hyp:tok:for OR hyp:tok:to) OR hyp:tok:tall) OR hyp:tok:friends) AND (NOT hyp:tok:next)),4,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids at a ballgame wash their hands .
"
1021,4,((((NOT pre:tok:to) AND (hyp:tok:after OR hyp:tok:to)) OR hyp:tok:first) OR hyp:tok:daughter),48,"Kids are on a amusement ride .
","Kids ride their favorite amusement ride .
"
1021,4,((((NOT pre:tok:to) AND (hyp:tok:after OR hyp:tok:to)) OR hyp:tok:first) OR hyp:tok:daughter),68,"The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .
","These two women are friends .
"
870,1,((((pre:tok:is AND pre:tok:man) OR hyp:tok:dancing) OR pre:tok:running) OR hyp:tok:bus),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
870,1,((((pre:tok:is AND pre:tok:man) OR hyp:tok:dancing) OR pre:tok:running) OR hyp:tok:bus),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
870,2,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:walked) AND (NOT pre:tok:lady)) AND (NOT pre:tok:women)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
870,2,(((((NOT pre:tok:woman) AND hyp:tok:woman) OR hyp:tok:walked) AND (NOT pre:tok:lady)) AND (NOT pre:tok:women)),26,"A young boy in a field of flowers carrying a ball
","dog in pool
"
870,3,(((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) OR pre:tok:6) AND (NOT hyp:tok:man)),6,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A woman drinks her coffee in a small cafe .
"
870,3,(((((NOT pre:tok:woman) AND hyp:tok:woman) AND pre:tok:man) OR pre:tok:6) AND (NOT hyp:tok:man)),91,"A little boy in a blue shirt holding a toy .
","Boy dressed in red lighting things on fire .
"
870,4,((((hyp:tok:at AND pre:tok:older) OR hyp:tok:sandwiches) OR pre:tok:photographs) OR hyp:tok:brushes),56,"A older gentleman finds it humorous that he is getting his picture taken while doing his laundry .
","two ladies pin clothes to dry
"
870,4,((((hyp:tok:at AND pre:tok:older) OR hyp:tok:sandwiches) OR pre:tok:photographs) OR hyp:tok:brushes),255,"An older gentleman speaking at a podium .
","A little girl in a spelling bee
"
280,1,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
280,1,((((NOT hyp:tok:to) AND (hyp:tok:are OR oth:overlap:overlap25)) AND (NOT hyp:tok:for)) OR pre:tok:for),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
280,2,((((hyp:tok:people OR oth:overlap:overlap50) OR hyp:tok:sitting) OR hyp:tok:person) AND (NOT hyp:tok:for)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
280,2,((((hyp:tok:people OR oth:overlap:overlap50) OR hyp:tok:sitting) OR hyp:tok:person) AND (NOT hyp:tok:for)),3,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in numbered jerseys wash their hands .
"
280,3,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),13,"A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .
","A man is wearing a blue shirt
"
280,3,((((hyp:tok:there OR oth:overlap:overlap75) OR pre:tok:red) OR hyp:tok:person) AND (NOT hyp:tok:for)),14,"A man in a blue shirt standing in front of a garage - like structure painted with geometric designs .
","A man is wearing a black shirt
"
280,4,((((hyp:tok:no OR hyp:tok:nobody) OR hyp:tok:present) OR hyp:tok:anything) OR hyp:tok:face),34,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","Nobody has a suit
"
280,4,((((hyp:tok:no OR hyp:tok:nobody) OR hyp:tok:present) OR hyp:tok:anything) OR hyp:tok:face),58,"An Indian woman is washing and cleaning dirty laundry at a lake and in the background is a kid who appears to have jumped into the lake .
","An Indian woman is putting her laundry into the machine .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
6,1,((((NOT oth:overlap:overlap25) AND (hyp:tok:is OR pre:tok:one)) OR hyp:tok:they) OR pre:tok:stage),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),2,"Two women are embracing while holding to go packages .
","The men are fighting outside a deli .
"
6,2,(((((NOT oth:overlap:overlap25) AND hyp:tok:is) AND (NOT pre:tok:by)) OR hyp:tok:tall) OR hyp:tok:they),5,"Two young children in blue jerseys , one with the number 9 and one with the number 2 are standing on wooden steps in a bathroom and washing their hands in a sink .
","Two kids in jackets walk to school .
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),34,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","Nobody has a suit
"
6,3,((((hyp:tok:best OR hyp:tok:tall) OR pre:tok:groom) OR pre:tok:mother) OR pre:tok:match),42,"Two doctors perform surgery on patient .
","Two surgeons are having lunch .
"
6,4,((((hyp:tok:halloween OR hyp:tok:tall) OR pre:tok:cherry) AND (NOT pre:tok:to)) OR hyp:tok:poor),27,"Families waiting in line at an amusement park for their turn to ride .
","The restaurant is very bad .
"
6,4,((((hyp:tok:halloween OR hyp:tok:tall) OR pre:tok:cherry) AND (NOT pre:tok:to)) OR hyp:tok:poor),35,"Man in a black suit , white shirt and black bowtie playing an instrument with the rest of his symphony surrounding him .
","A tall person in a suit
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),0,"Two women are embracing while holding to go packages .
","The sisters are hugging goodbye while holding to go packages after just eating lunch .
"
410,1,((((NOT oth:overlap:overlap50) AND (hyp:tok:is OR hyp:tok:woman)) OR hyp:tok:cat) AND (NOT hyp:tok:there)),1,"Two women are embracing while holding to go packages .
","Two woman are holding packages .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),6,"A man selling donuts to a customer during a world exhibition event held in the city of Angeles
","A woman drinks her coffee in a small cafe .
"
410,2,((((NOT oth:overlap:overlap50) AND (hyp:tok:dog OR hyp:tok:in)) OR hyp:tok:inside) AND (NOT pre:tok:are)),10,"Two young boys of opposing teams play football , while wearing full protection uniforms and helmets .
","dog eats out of bowl
"
410,3,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),45,"A white dog with long hair jumps to catch a red and green toy .
","A white dog with long hair is swimming underwater .
"
410,3,((((hyp:tok:cat OR hyp:tok:swimming) OR hyp:tok:sleeps) OR hyp:tok:sleeping) OR hyp:tok:parked),52,"A man in a black shirt is playing golf outside .
","The man in the black shirt trades Pokemon cards with his girlfriend .
"
410,4,((((hyp:tok:basketball OR hyp:tok:swimming) OR hyp:tok:kitchen) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:water)),67,"The middle eastern woman wearing the pink headscarf is walking beside a woman in a purple headscarf .
","Only one woman is wearing a head scarf .
"
410,4,((((hyp:tok:basketball OR hyp:tok:swimming) OR hyp:tok:kitchen) AND (NOT oth:overlap:overlap75)) AND (NOT pre:tok:water)),204,"A man running a marathon talks to his friend .
","There are people canoeing down a river .
"
